mysqld, Version: 5.7.28-log (MySQL Community Server (GPL)). started with:
Tcp port: 3306  Unix socket: /tmp/mysql.sock
Time                 Id Command    Argument
2020-11-23T13:19:32.932235Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.932324Z	    5 Query	use `mysql`
2020-11-23T13:19:32.932421Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.932556Z	    5 Query	SHOW TRIGGERS LIKE 'plugin'
2020-11-23T13:19:32.932816Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.932903Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.933033Z	    5 Query	show table status like 'proc'
2020-11-23T13:19:32.934166Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.934250Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.934338Z	    5 Query	show create table `proc`
2020-11-23T13:19:32.934452Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.934589Z	    5 Query	show fields from `proc`
2020-11-23T13:19:32.934884Z	    5 Query	show fields from `proc`
2020-11-23T13:19:32.935169Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `proc` WHERE db != 'sys'
2020-11-23T13:19:32.935920Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.936056Z	    5 Query	use `mysql`
2020-11-23T13:19:32.936168Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.936268Z	    5 Query	SHOW TRIGGERS LIKE 'proc'
2020-11-23T13:19:32.936602Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.936689Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.936778Z	    5 Query	show table status like 'procs\_priv'
2020-11-23T13:19:32.937059Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.937148Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.937239Z	    5 Query	show create table `procs_priv`
2020-11-23T13:19:32.937344Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.937450Z	    5 Query	show fields from `procs_priv`
2020-11-23T13:19:32.937755Z	    5 Query	show fields from `procs_priv`
2020-11-23T13:19:32.938010Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `procs_priv`
2020-11-23T13:19:32.938186Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.938275Z	    5 Query	use `mysql`
2020-11-23T13:19:32.938365Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.938466Z	    5 Query	SHOW TRIGGERS LIKE 'procs\_priv'
2020-11-23T13:19:32.938726Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.938814Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.938909Z	    5 Query	show table status like 'proxies\_priv'
2020-11-23T13:19:32.939178Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.939267Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.939352Z	    5 Query	show create table `proxies_priv`
2020-11-23T13:19:32.939464Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.940448Z	    5 Query	show fields from `proxies_priv`
2020-11-23T13:19:32.940913Z	    5 Query	show fields from `proxies_priv`
2020-11-23T13:19:32.941421Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `proxies_priv`
2020-11-23T13:19:32.941678Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.941887Z	    5 Query	use `mysql`
2020-11-23T13:19:32.941973Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.942080Z	    5 Query	SHOW TRIGGERS LIKE 'proxies\_priv'
2020-11-23T13:19:32.942349Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.942450Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.942546Z	    5 Query	show table status like 'server\_cost'
2020-11-23T13:19:32.942794Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.942874Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.942960Z	    5 Query	show create table `server_cost`
2020-11-23T13:19:32.943062Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.943143Z	    5 Query	show fields from `server_cost`
2020-11-23T13:19:32.943376Z	    5 Query	show fields from `server_cost`
2020-11-23T13:19:32.943612Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `server_cost`
2020-11-23T13:19:32.943760Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.943846Z	    5 Query	use `mysql`
2020-11-23T13:19:32.943970Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.944073Z	    5 Query	SHOW TRIGGERS LIKE 'server\_cost'
2020-11-23T13:19:32.944323Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.944415Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.944509Z	    5 Query	show table status like 'servers'
2020-11-23T13:19:32.944747Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.944827Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.944937Z	    5 Query	show create table `servers`
2020-11-23T13:19:32.945061Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.945169Z	    5 Query	show fields from `servers`
2020-11-23T13:19:32.945412Z	    5 Query	show fields from `servers`
2020-11-23T13:19:32.945660Z	    5 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `servers`
2020-11-23T13:19:32.945865Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.945951Z	    5 Query	use `mysql`
2020-11-23T13:19:32.946040Z	    5 Query	select @@collation_database
2020-11-23T13:19:32.946149Z	    5 Query	SHOW TRIGGERS LIKE 'servers'
2020-11-23T13:19:32.946411Z	    5 Query	SET SESSION character_set_results = 'utf8'
2020-11-23T13:19:32.946499Z	    5 Query	ROLLBACK TO SAVEPOINT sp
2020-11-23T13:19:32.946595Z	    5 Query	show table status like 'slave\_master\_info'
2020-11-23T13:19:32.946920Z	    5 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-11-23T13:19:32.947006Z	    5 Query	SET SESSION character_set_results = 'binary'
2020-11-23T13:19:32.947097Z	    5 Query	show create table `slave_master_info`
2020-11-23T13:19:32.947192Z	    5 Query	SET SESSION character_set_results = 'utf8'
